Nr,x,y,H,Kodi,Përshkrimi,Burimi
220086,7512362.388,4694374.66,620.669,11,Monoment,PM
38884,7519076.146,4698227.376,653.897,1,Guri,PM
38885,7519063.256,4698232.446,654.2,1,Guri,PM
38888,7519052.676,4698232.686,652.805,2,Kunjë - shtyllë metalike,PM
38889,7519031.706,4698235.117,0,-,-,PM
38894,7519026.305,4698204.809,652.3595,2,Kunjë - shtyllë metalike,PM
38900,7519047.431,4698104.283,664.935,1,Guri,PM
38901,7519006.881,4698108.894,664.302,1,Guri,PM
38902,7519018.253,4698162.481,657.68145,2,Kunjë - shtyllë metalike,PM
48053,7519079.99,4698224.9,653.868,1,Guri,PM
48054,7519075.77,4698205.15,653.661,1,Guri,PM
48055,7519068.22,4698166.79,656.106,1,Guri,PM
48056,7519062.23,4698137.55,661.318,1,Guri,PM
48057,7519055.38,4698101.95,666.265,1,Guri,PM
48058,7519071.732,4698184.635,653.852,1,Guri,PM
5001,7519006.922,4698108.252,664.6067,1,Guri,PM
5016,7519047.188,4698104.222,664.935,1,Guri,PM
